Model,Sampling,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,Feature_Selection
DNN,NearMiss (Fold 5),0.778,0.176471,0.03,0.051282,0.506294,FS_RF
DNN,None (Baseline),0.8,0.0,0.0,0.0,0.50155,FS_RF
ResNet,SMOTEENN (Fold 5),0.481,0.217699,0.615,0.321569,0.514637,FS_RF
ResNet,NearMiss (Fold 1),0.622,0.267016,0.51,0.350515,0.575275,FS_RF
ResNet,Borderline2 + Tomek (Fold 5),0.629,0.223301,0.345,0.27112,0.531388,FS_RF
ResNet,SMOTETomek (Fold 5),0.582,0.188571,0.33,0.24,0.504231,FS_RF
ResNet,ADASYN (Fold 4),0.617,0.196013,0.295,0.235529,0.514225,FS_RF
ResNet,ADASYN + Tomek (Fold 2),0.599,0.172638,0.265,0.209073,0.481156,FS_RF
ResNet,SMOTE (Fold 1),0.598,0.165563,0.25,0.199203,0.481494,FS_RF
ResNet,ClusterCentroids (Fold 2),0.661,0.209205,0.25,0.22779,0.51015,FS_RF
ResNet,RandomUnderSampler (Fold 4),0.743,0.172414,0.075,0.10453,0.458703,FS_RF
ResNet,None (Baseline),0.8,0.0,0.0,0.0,0.504163,FS_RF
TabNet,None (Baseline),0.8,0.0,0.0,0.0,0.490231,FS_RF
TabNet,SMOTE,0.626,0.182482,0.25,0.21097,0.487213,FS_RF
TabNet,ADASYN,0.619,0.184669,0.265,0.217659,0.507625,FS_RF
TabNet,RandomUnderSampler,0.634,0.168,0.21,0.186667,0.453756,FS_RF
TabNet,SMOTETomek,0.653,0.202429,0.25,0.223714,0.484506,FS_RF
TabNet,SMOTEENN,0.323,0.203727,0.82,0.326368,0.51085,FS_RF
TabNet,NearMiss,0.35,0.207792,0.8,0.329897,0.546406,FS_RF
TabNet,ClusterCentroids,0.488,0.17364,0.415,0.244838,0.44225,FS_RF
TabNet,ADASYN+Tomek,0.662,0.2125,0.255,0.231818,0.525194,FS_RF
TabNet,Borderline+Tomek,0.568,0.188172,0.35,0.244755,0.481456,FS_RF
