Model,Split,Technique,Cross-Validation Accuracies +- std,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC,TP,TN,FP,FN
XGBoost,80:20,SMOTETomek,0.7876 ± 0.0054,0.7885,0.3118,0.0725,0.1176,0.5146,29,1548,52,371
XGBoost,80:20,SMOTEENN,0.5315 ± 0.0125,0.523,0.1969,0.45,0.2711,0.505,180,866,734,220
XGBoost,80:20,NearMiss,0.4901 ± 0.0163,0.4855,0.1873,0.465,0.267,0.4939,186,785,815,214
XGBoost,80:20,ClusterCentroids,0.5460 ± 0.0116,0.5405,0.2037,0.44,0.2785,0.519,176,905,695,224
XGBoost,80:20,ADASYN+Tomek,0.7865 ± 0.0079,0.7865,0.3267,0.0825,0.1317,0.5242,33,1540,60,367
XGBoost,80:20,Borderline+Tomek,0.7846 ± 0.0051,0.783,0.3084,0.0825,0.1302,0.5142,33,1533,67,367
XGBoost,90:10,Baseline,0.7963 ± 0.0039,0.791,0.3478,0.04,0.0717,0.5385,8,783,17,192
XGBoost,90:10,SMOTE,0.7909 ± 0.0041,0.794,0.4286,0.06,0.1053,0.5367,12,782,18,188
XGBoost,90:10,ADASYN,0.7908 ± 0.0054,0.785,0.3529,0.06,0.1026,0.5218,12,773,27,188
XGBoost,90:10,RandomUnderSampler,0.5430 ± 0.011,0.541,0.2188,0.49,0.3025,0.5216,98,443,357,102
XGBoost,90:10,SMOTETomek,0.7902 ± 0.0042,0.789,0.3514,0.065,0.1097,0.518,13,776,24,187
XGBoost,90:10,SMOTEENN,0.5350 ± 0.0146,0.523,0.2096,0.5,0.2866,0.5143,100,423,377,100
XGBoost,90:10,NearMiss,0.4734 ± 0.0263,0.457,0.1982,0.555,0.2921,0.4942,111,346,454,89
XGBoost,90:10,ClusterCentroids,0.5430 ± 0.011,0.541,0.2188,0.49,0.3025,0.5216,98,443,357,102
XGBoost,90:10,ADASYN+Tomek,0.7908 ± 0.0054,0.785,0.3529,0.06,0.1026,0.5218,12,773,27,188
XGBoost,90:10,Borderline+Tomek,0.7884 ± 0.0044,0.791,0.4138,0.06,0.1048,0.5348,12,779,21,188
