Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Random Forest,90:10,Baseline,SMOTETomek,0.796222,0.000889,0.799,0.0,0.0,0.0,0.524687,0.0,799.0,1.0,200.0
Random Forest,90:10,Baseline,SMOTEENN,0.485667,0.01268,0.493,0.213084,0.57,0.310204,0.504366,114.0,379.0,421.0,86.0
Random Forest,90:10,Baseline,NearMiss (Fold 1),0.380444,0.005368,0.416,0.22093,0.76,0.342342,0.536363,152.0,264.0,536.0,48.0
Random Forest,90:10,Baseline,ClusterCentroids,0.926389,0.008696,0.199,0.199199,0.995,0.331943,0.4939,199.0,0.0,800.0,1.0
Random Forest,90:10,Baseline,ADASYN+Tomek,0.89242,0.004451,0.796,0.0,0.0,0.0,0.525322,0.0,796.0,4.0,200.0
Random Forest,90:10,Baseline,BorderlineSMOTE+Tomek,0.917179,0.005132,0.8,0.0,0.0,0.0,0.52915,0.0,800.0,0.0,200.0
ResNet,80:20,Baseline,SMOTEENN (Fold 1),0.249125,0.059573,0.364,0.205007,0.7575,0.322684,0.485,303.0,425.0,1175.0,97.0
ResNet,80:20,Baseline,ClusterCentroids (Fold 3),0.487875,0.038047,0.5635,0.210526,0.43,0.282662,0.515031,172.0,955.0,645.0,228.0
ResNet,80:20,Baseline,NearMiss (Fold 2),0.495625,0.031652,0.539,0.18705,0.39,0.252836,0.47803,156.0,922.0,678.0,244.0
ResNet,80:20,Baseline,RandomUnderSampler (Fold 3),0.524,0.034615,0.575,0.190083,0.345,0.245115,0.506259,138.0,1012.0,588.0,262.0
ResNet,80:20,Baseline,Borderline2 + Tomek (Fold 5),0.622,0.017086,0.6335,0.191095,0.2575,0.219382,0.494013,103.0,1164.0,436.0,297.0
ResNet,80:20,Baseline,ADASYN + Tomek (Fold 1),0.64075,0.012301,0.6205,0.175407,0.2425,0.203568,0.467056,97.0,1144.0,456.0,303.0
ResNet,80:20,Baseline,SMOTE (Fold 5),0.668875,0.024256,0.6835,0.209476,0.21,0.209738,0.526431,84.0,1283.0,317.0,316.0
ResNet,80:20,Baseline,SMOTETomek (Fold 3),0.655125,0.023909,0.678,0.195,0.195,0.195,0.500044,78.0,1278.0,322.0,322.0
ResNet,80:20,Baseline,ADASYN (Fold 1),0.628625,0.033289,0.659,0.156098,0.16,0.158025,0.446081,64.0,1254.0,346.0,336.0
ResNet,80:20,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.500505,0.0,1600.0,0.0,400.0
ResNet,90:10,Baseline,SMOTEENN (Fold 4),0.318333,0.012187,0.332,0.203797,0.805,0.325253,0.504581,161.0,171.0,629.0,39.0
ResNet,90:10,Baseline,ClusterCentroids (Fold 2),0.384111,0.047358,0.433,0.177504,0.505,0.262679,0.460363,101.0,332.0,468.0,99.0
ResNet,90:10,Baseline,NearMiss (Fold 5),0.488444,0.041071,0.559,0.203931,0.415,0.273476,0.503138,83.0,476.0,324.0,117.0
ResNet,90:10,Baseline,RandomUnderSampler (Fold 5),0.584111,0.030306,0.614,0.194079,0.295,0.234127,0.475819,59.0,555.0,245.0,141.0
ResNet,90:10,Baseline,SMOTE (Fold 5),0.652889,0.007992,0.641,0.195402,0.255,0.221258,0.496887,51.0,590.0,210.0,149.0
ResNet,90:10,Baseline,ADASYN (Fold 2),0.643444,0.006951,0.638,0.188462,0.245,0.213043,0.492481,49.0,589.0,211.0,151.0
ResNet,90:10,Baseline,SMOTETomek (Fold 3),0.640111,0.009437,0.663,0.208511,0.245,0.225287,0.505944,49.0,614.0,186.0,151.0
ResNet,90:10,Baseline,Borderline2 + Tomek (Fold 4),0.619333,0.019217,0.647,0.195219,0.245,0.217295,0.500494,49.0,598.0,202.0,151.0
ResNet,90:10,Baseline,ADASYN + Tomek (Fold 3),0.637333,0.027974,0.656,0.178571,0.2,0.188679,0.470513,40.0,616.0,184.0,160.0
ResNet,90:10,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.510294,0.0,800.0,0.0,200.0
TabNet,80:20,Baseline,None (Baseline),0.73825,0.077029,0.8,0.0,0.0,0.0,0.514595,,,,
TabNet,80:20,Baseline,SMOTE,0.595375,0.025145,0.614,0.213846,0.3475,0.264762,0.517798,,,,
TabNet,80:20,Baseline,ADASYN,0.649125,0.027342,0.6555,0.178174,0.2,0.188457,0.493102,,,,
TabNet,80:20,Baseline,RandomUnderSampler,0.408375,0.027641,0.428,0.200483,0.6225,0.303289,0.50905,,,,
TabNet,80:20,Baseline,SMOTETomek,0.633375,0.0194,0.612,0.199681,0.3125,0.243665,0.512877,,,,
TabNet,80:20,Baseline,SMOTEENN,0.336375,0.052031,0.4095,0.203042,0.6675,0.31137,0.502912,,,,
TabNet,80:20,Baseline,NearMiss,0.356375,0.035396,0.3725,0.203331,0.7325,0.318305,0.521912,,,,
TabNet,80:20,Baseline,ClusterCentroids,0.310625,0.045273,0.3635,0.204868,0.7575,0.322512,0.505943,,,,
TabNet,80:20,Baseline,ADASYN+Tomek,0.636375,0.056443,0.6695,0.162791,0.1575,0.160102,0.471368,,,,
TabNet,80:20,Baseline,Borderline+Tomek,0.617625,0.098982,0.7545,0.097345,0.0275,0.042885,0.469625,,,,
TabNet,90:10,Baseline,None (Baseline),0.784333,0.029956,0.8,0.0,0.0,0.0,0.5058,,,,
TabNet,90:10,Baseline,SMOTE,0.718111,0.042985,0.772,0.208333,0.05,0.080645,0.510725,,,,
TabNet,90:10,Baseline,ADASYN,0.625222,0.059569,0.681,0.215311,0.225,0.220049,0.511044,,,,
TabNet,90:10,Baseline,RandomUnderSampler,0.467,0.059796,0.514,0.18913,0.435,0.263636,0.501194,,,,
TabNet,90:10,Baseline,SMOTETomek,0.590333,0.006311,0.575,0.183099,0.325,0.234234,0.497181,,,,
TabNet,90:10,Baseline,SMOTEENN,0.304222,0.03155,0.34,0.200521,0.77,0.318182,0.502694,,,,
TabNet,90:10,Baseline,NearMiss,0.441889,0.051297,0.512,0.193617,0.455,0.271642,0.515688,,,,
TabNet,90:10,Baseline,ClusterCentroids,0.327333,0.068309,0.406,0.203313,0.675,0.3125,0.519497,,,,
TabNet,90:10,Baseline,ADASYN+Tomek,0.550556,0.133882,0.696,0.217391,0.2,0.208333,0.491006,,,,
TabNet,90:10,Baseline,Borderline+Tomek,0.532333,0.062414,0.632,0.171875,0.22,0.192982,0.473156,,,,
XGBoost,80:20,Baseline,None (Baseline),0.799125,0.001403,0.7995,0.333333,0.0025,0.004963,0.471533,,,,
XGBoost,80:20,Baseline,SMOTE,0.7965,0.001879,0.798,0.166667,0.0025,0.004926,0.495327,,,,
XGBoost,80:20,Baseline,ADASYN,0.797375,0.000729,0.796,0.0,0.0,0.0,0.488909,,,,
XGBoost,80:20,Baseline,RandomUnderSampler,0.494375,0.022354,0.4985,0.192661,0.4725,0.273715,0.494325,,,,
XGBoost,80:20,Baseline,SMOTETomek,0.798,0.0015,0.7965,0.230769,0.0075,0.014528,0.483523,,,,
XGBoost,80:20,Baseline,SMOTEENN,0.5245,0.013178,0.522,0.194505,0.4425,0.270229,0.504834,,,,
XGBoost,80:20,Baseline,NearMiss,0.390875,0.008203,0.391,0.199265,0.6775,0.307955,0.508578,,,,
XGBoost,80:20,Baseline,ADASYN+Tomek,0.797875,0.000306,0.7985,0.285714,0.005,0.009828,0.481339,,,,
XGBoost,80:20,Baseline,Borderline+Tomek,0.795125,0.001992,0.7955,0.0,0.0,0.0,0.480972,,,,
XGBoost,90:10,Baseline,None (Baseline),0.797778,0.001315,0.799,0.0,0.0,0.0,0.488262,,,,
XGBoost,90:10,Baseline,SMOTE,0.798889,0.000994,0.8,0.0,0.0,0.0,0.527756,,,,
XGBoost,90:10,Baseline,ADASYN,0.799111,0.000667,0.802,1.0,0.01,0.019802,0.510231,,,,
XGBoost,90:10,Baseline,RandomUnderSampler,0.494556,0.005204,0.51,0.213439,0.54,0.305949,0.520719,,,,
XGBoost,90:10,Baseline,SMOTETomek,0.797778,0.001267,0.797,0.0,0.0,0.0,0.5241,,,,
XGBoost,90:10,Baseline,SMOTEENN,0.537,0.005748,0.525,0.200436,0.46,0.279211,0.505656,,,,
XGBoost,90:10,Baseline,NearMiss,0.383,0.002713,0.401,0.21045,0.725,0.326209,0.549406,,,,
XGBoost,90:10,Baseline,ADASYN+Tomek,0.799444,0.001267,0.799,0.0,0.0,0.0,0.4939,,,,
XGBoost,90:10,Baseline,Borderline+Tomek,0.795,0.002383,0.797,0.2,0.005,0.009756,0.510306,,,,
MLP,80:20,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.475529,,,,
MLP,80:20,Baseline,SMOTE,0.502,0.1316,0.663,0.206009,0.24,0.221709,0.511381,,,,
MLP,80:20,Baseline,ADASYN,0.483375,0.106897,0.6235,0.188713,0.2675,0.221303,0.498242,,,,
